Depth_meter,Area_meterSquared
0,2488250965
1,2485243144
2,2475185434
3,2450778913
4,2419184681
5,2392800219
6,2373483520
7,2358938108
8,2347169359
9,2337000041
10,2327789112
11,2319522272
12,2311786854
13,2304549099
14,2297484514
15,2290606204
16,2283894311
17,2277341687
18,2270795020
19,2264376641
20,2257827988
21,2251471966
22,2245160428
23,2238831811
24,2232564757
25,2226253218
26,2219976235
27,2213835482
28,2207674077
29,2201490430
30,2195408063
31,2189492113
32,2183772368
33,2178033162
34,2172289984
35,2166725138
36,2161119383
37,2155452066
38,2149785940
39,2144076919
40,2138377431
41,2132878914
42,2127210008
43,2121559372
44,2115921445
45,2110192566
46,2104525249
47,2098875407
48,2093156854
49,2087316367
50,2081477867
51,2075383982
52,2069433080
53,2063432929
54,2057413713
55,2051357162
56,2045235871
57,2038986293
58,2032930536
59,2026800508
60,2020916729
61,2014755721
62,2008745243
63,2002913495
64,1997160387
65,1991448586
66,1985710174
67,1979897490
68,1974095927
69,1968232007
70,1962225103
71,1956257918
72,1950223212
73,1944253643
74,1938226483
75,1932181451
76,1925932666
77,1919594517
78,1913227772
79,1906753788
80,1900059371
81,1893268838
82,1886361137
83,1879406569
84,1872428965
85,1865734549
86,1858923759
87,1852077621
88,1845286690
89,1838537065
90,1831764008
91,1824800305
92,1817640397
93,1810974577
94,1804477954
95,1797939231
96,1791473588
97,1785703402
98,1780441205
99,1775543616
100,1770827538
101,1766084848
102,1761244851
103,1756554986
104,1751904839
105,1747218151
106,1742539407
107,1737842393
108,1733127506
109,1728239053
110,1723365692
111,1718318765
112,1713065306
113,1707987002
114,1703173615
115,1698361817
116,1693545253
117,1688845855
118,1684234234
119,1679634529
120,1674893428
121,1670296502
122,1665709109
123,1660992633
124,1656242000
125,1651581129
126,1646986190
127,1642391250
128,1637731571
129,1632933673
130,1627980480
131,1623247720
132,1618638482
133,1614000250
134,1609445028
135,1604686849
136,1599948131
137,1594894850
138,1589695804
139,1584913794
140,1580210425
141,1575272324
142,1570668647
143,1566207953
144,1561765132
145,1557122929
146,1552290080
147,1547226074
148,1542355494
149,1537613996
150,1532945579
151,1528272395
152,1523524542
153,1518810847
154,1514109067
155,1509317127
156,1504705109
157,1500283736
158,1495807155
159,1491290856
160,1486889342
161,1482473132
162,1477894476
163,1473440137
164,1469000097
165,1464433357
166,1459842389
167,1455032576
168,1450229516
169,1445267982
170,1440305257
171,1435149900
172,1430131570
173,1425310637
174,1421022715
175,1416455578
176,1411878908
177,1407385249
178,1402862595
179,1398128644
180,1393328761
181,1388635321
182,1383810416
183,1378979156
184,1373951294
185,1368772107
186,1363389566
187,1358078516
188,1352693989
189,1347099752
190,1341779170
191,1336338244
192,1330645904
193,1324256122
194,1318830288
195,1313500571
196,1307785196
197,1301556270
198,1296414021
199,1291142292
200,1285550438
201,1279559422
202,1272803443
203,1266977652
204,1262110646
205,1257519678
206,1253312780
207,1249295336
208,1245336276
209,1241328364
210,1237311317
211,1233391181
212,1229540948
213,1225477034
214,1221423049
215,1217178420
216,1212987409
217,1208725303
218,1204497752
219,1200409611
220,1197014542
221,1193759678
222,1190502033
223,1187252728
224,1183981976
225,1180690969
226,1177363818
227,1173976296
228,1170624123
229,1167365286
230,1164012716
231,1160664912
232,1157339747
233,1153939912
234,1150632620
235,1147253439
236,1143838512
237,1140476807
238,1137052348
239,1133669592
240,1130147427
241,1126695165
242,1123231783
243,1119869680
244,1116486924
245,1113092253
246,1109758748
247,1106260811
248,1102779952
249,1099293136
250,1095828562
251,1092254367
252,1088673420
253,1085117495
254,1081576663
255,1077999688
256,1074411194
257,1070739294
258,1067081692
259,1063418132
260,1059720018
261,1056089027
262,1052519995
263,1048923558
264,1045209557
265,1041537259
266,1037899119
267,1034389266
268,1030926678
269,1027436685
270,1023887909
271,1020376865
272,1016899978
273,1013357160
274,1009829435
275,1006231012
276,1002596844
277,998908262
278,995250660
279,991600604
280,987892560
281,984124543
282,980418882
283,976593274
284,972753368
285,968905915
286,965031455
287,961103375
288,957072029
289,953024002
290,949145967
291,945047498
292,940928377
293,937008241
294,933043621
295,929086944
296,925065528
297,920995657
298,916795511
299,912431728
300,908272491
301,904136688
302,900071186
303,896052152
304,891926676
305,887812320
306,883761513
307,879720635
308,875634876
309,871365225
310,867219889
311,862906945
312,858688926
313,854282646
314,849893841
315,845483986
316,840896593
317,836181705
318,831254329
319,826733264
320,822344062
321,818016025
322,813645491
323,809230075
324,804718940
325,800236798
326,795766175
327,791109673
328,786296286
329,781184222
330,775856491
331,770270595
332,765271329
333,760339584
334,755308146
335,750151202
336,744745624
337,739301123
338,733921362
339,728618653
340,723068503
341,717067557
342,710792162
343,704451232
344,698459421
345,692234468
346,685994421
347,679276571
348,672543231
349,666082752
350,659878848
351,653557778
352,647550080
353,641472876
354,635076739
355,629086120
356,622765844
357,616990097
358,611042373
359,604458371
360,598117442
361,592338915
362,586553636
363,580889497
364,575155851
365,569249433
366,562885865
367,556187873
368,549360005
369,542598068
370,535809123
371,529422519
372,522901271
373,515791804
374,507876069
375,499366156
376,490986518
377,482359835
378,475050986
379,468643728
380,463034001
381,457763464
382,452759432
383,448007607
384,443220037
385,438536924
386,433714799
387,428592012
388,424300118
389,420241367
390,415999518
391,411971350
392,407658803
393,403241004
394,398502286
395,393392605
396,388623305
397,383658197
398,378345161
399,373453927
400,368497160
401,362730151
402,355945178
403,350701251
404,345962136
405,341862079
406,337759639
407,334498022
408,331161339
409,328074480
410,324734619
411,321287124
412,318147838
413,315091164
414,311885946
415,308066693
416,304293910
417,300556872
418,296621644
419,292643122
420,288408819
421,283556112
422,278023040
423,271592349
424,266069207
425,261159306
426,256739919
427,251951157
428,246611510
429,240887000
430,234933715
431,229309293
432,224455394
433,220622240
434,217084585
435,213654962
436,210464043
437,207029257
438,203524171
439,199859420
440,195277984
441,189910535
442,184027948
443,177857805
444,171945032
445,166579172
446,162164551
447,158234088
448,153728911
449,148641472
450,143214843
451,137872814
452,133250072
453,128664267
454,124177757
455,119982775
456,115649177
457,111305651
458,107764819
459,104254569
460,100670445
461,97063284
462,92794426.6
463,87330463.9
464,80276204.9
465,72602747.1
466,66919939.9
467,60942824.6
468,56183453.7
469,50881539.2
470,41974847.1
471,30994097.1
472,20516173.1
473,16150801.7
474,14898105.8
475,13116767.4
476,11626162.4
477,10377438.2
478,8958722.31
479,6511715.39
480,3540037.77
481,1269774.57
482,136628.856
483,0
